"Date","SP500","NASDAQ","DowJones","FTSE100","DAX","CAC40","Nikkei225","HangSeng","SSEComposite","KOSPI","Sensex"
2002-10-31,885.760009765625,1329.75,8397.0302734375,4039.69995117188,3152.85009765625,3150.0400390625,8640.48046875,9441.25,1507.49597167969,658.919982910156,2949.32006835938
2002-11-30,936.309997558594,1478.78002929688,8896.08984375,4169.39990234375,3320.32006835938,3326.64990234375,9215.5595703125,10069.8701171875,1434.18200683594,724.799987792969,3228.82006835938
2002-12-31,879.820007324219,1335.51000976562,8341.6298828125,3940.39990234375,NA,3063.90991210938,NA,9321.2900390625,1357.65405273438,NA,3377.28002929688
2003-01-31,855.700012207031,1320.91003417969,8053.81005859375,3567.39990234375,2747.830078125,2937.8798828125,8339.9404296875,NA,NA,NA,3250.3798828125
2003-02-28,841.150024414062,1337.52001953125,7891.080078125,3655.60009765625,2547.05004882812,2754.07006835938,8363.0400390625,9122.66015625,1511.93200683594,575.429992675781,3283.65991210938
2003-03-31,848.179992675781,1341.17004394531,7992.1298828125,3613.30004882812,2423.8701171875,2618.4599609375,7972.7099609375,8634.4501953125,1510.57800292969,535.700012207031,3048.71997070312
2003-04-30,916.919982910156,1464.31005859375,8480.08984375,3926,2942.0400390625,2953.669921875,7831.419921875,8717.2197265625,1521.44396972656,599.349975585938,2959.7900390625
2003-05-31,963.590026855469,1595.91003417969,8850.259765625,4048.10009765625,2982.67993164062,2991.75,8424.509765625,9487.3798828125,1576.26098632812,633.419982910156,3180.75
2003-06-30,974.5,1622.80004882812,8985.4404296875,4031.19995117188,3220.580078125,3084.10009765625,9083.1103515625,9577.1201171875,1486.02404785156,669.929992675781,3607.1298828125
2003-07-31,990.309997558594,1735.02001953125,9233.7998046875,4157,3487.86010742188,3210.27001953125,9563.2099609375,10134.830078125,1476.74194335938,713.52001953125,3792.61010742188
2003-08-31,1008.01000976562,1810.44995117188,9415.8203125,4161.10009765625,3484.580078125,3311.419921875,10343.5498046875,10908.990234375,1421.98303222656,759.469970703125,4244.72998046875
2003-09-30,995.969970703125,1786.93994140625,9275.0595703125,4091.30004882812,3256.78002929688,3134.98999023438,10219.0498046875,11229.8701171875,1367.16101074219,697.52001953125,4453.240234375
2003-10-31,1050.7099609375,1932.2099609375,9801.1201171875,4287.60009765625,3655.98999023438,3373.19995117188,10559.58984375,12190.099609375,1348.30297851562,782.359985351562,4906.8701171875
2003-11-30,1058.19995117188,1960.26000976562,9782.4599609375,4342.60009765625,3745.94995117188,3424.7900390625,10100.5703125,12317.4697265625,1397.22497558594,796.179992675781,5044.81982421875
2003-12-31,1111.92004394531,2003.36999511719,10453.919921875,4476.89990234375,NA,3557.89990234375,NA,12575.9404296875,1497.0439453125,NA,5838.9599609375
2004-01-31,1131.13000488281,2066.14990234375,10488.0703125,4390.7001953125,4058.60009765625,3638.43994140625,10783.6103515625,13289.3701171875,1590.72900390625,848.5,5695.669921875
2004-02-29,1144.93994140625,2029.81994628906,10583.919921875,4492.2001953125,4018.15991210938,3725.43994140625,11041.919921875,13907.0302734375,1675.06701660156,883.419982910156,5667.509765625
2004-03-31,1126.2099609375,1994.21997070312,10357.7001953125,4385.7001953125,3856.69995117188,3625.22998046875,11715.3896484375,12681.669921875,1741.623046875,880.5,5590.60009765625
2004-04-30,1107.30004882812,1920.15002441406,10225.5703125,4489.7001953125,3985.2099609375,3674.28002929688,11761.7900390625,11942.9599609375,1595.58703613281,862.840026855469,5655.08984375
2004-05-31,1120.68005371094,1986.73999023438,10188.4501953125,NA,3921.40991210938,3669.6298828125,11236.3701171875,12198.240234375,1555.90600585938,803.840026855469,4759.6201171875
