"Date","SP500","NASDAQ","DowJones","FTSE100","DAX","CAC40","Nikkei225","HangSeng","SSEComposite","KOSPI","Sensex"
2021-03-26,3974.5400390625,13138.73046875,33072.87890625,6740.60009765625,14748.9404296875,5988.81005859375,29176.69921875,28336.4296875,3418.32690429688,3041.01000976562,49008.5
2021-03-29,3971.09008789062,13059.650390625,33171.37109375,6736.2001953125,14817.7197265625,6015.509765625,29384.51953125,28338.30078125,3435.30004882812,3036.0400390625,NA
2021-03-30,3958.55004882812,13045.3896484375,33066.9609375,6772.10009765625,15008.6103515625,6088.0400390625,29432.69921875,28577.5,3456.67993164062,3070,50136.578125
2021-03-31,3972.88989257812,13246.8701171875,32981.55078125,6713.60009765625,15008.33984375,6067.22998046875,29178.80078125,28378.349609375,3441.90991210938,3061.419921875,49509.1484375
2021-04-01,4019.8701171875,13480.1103515625,33153.2109375,6737.2998046875,15107.169921875,6102.9599609375,29388.869140625,28938.740234375,3466.330078125,3087.39990234375,50029.828125
2021-04-02,NA,NA,NA,NA,NA,NA,29854,NA,3484.39208984375,3112.80004882812,NA
2021-04-05,4077.90991210938,13705.58984375,33527.19140625,NA,NA,NA,30089.25,NA,NA,3120.830078125,49159.3203125
2021-04-06,4073.93994140625,13698.3798828125,33430.23828125,6823.60009765625,15212.6796875,6131.33984375,29696.630859375,NA,3482.96997070312,3127.080078125,49201.390625
2021-04-07,4079.94995117188,13688.83984375,33446.26171875,6885.2998046875,15176.3603515625,6130.66015625,29730.7890625,28674.80078125,3479.6298828125,3137.40991210938,49661.76171875
2021-04-08,4097.169921875,13829.3095703125,33503.5703125,6942.2001953125,15202.6796875,6165.72021484375,29708.98046875,29008.0703125,3482.55004882812,3143.26000976562,49746.2109375
2021-04-09,4128.7998046875,13900.1904296875,33800.6015625,6915.7998046875,15234.16015625,6169.41015625,29768.060546875,28698.80078125,3450.67993164062,3131.8798828125,49591.3203125
2021-04-12,4127.990234375,13850,33745.3984375,6889.10009765625,15215,6161.68017578125,29538.73046875,28453.279296875,3412.94995117188,3135.59008789062,47883.37890625
2021-04-13,4141.58984375,13996.099609375,33677.26953125,6890.5,15234.3603515625,6184.10009765625,29751.609375,28497.25,3396.46997070312,3169.080078125,48544.05859375
2021-04-14,4124.66015625,13857.83984375,33730.890625,6939.60009765625,15209.150390625,6208.580078125,29620.990234375,28900.830078125,3416.71997070312,3182.3798828125,NA
2021-04-15,4170.419921875,14038.759765625,34035.98828125,6983.5,15255.330078125,6234.14013671875,29642.689453125,28793.140625,3398.98999023438,3194.330078125,48803.6796875
2021-04-16,4185.47021484375,14052.33984375,34200.671875,7019.5,15459.75,6287.06982421875,29683.369140625,28969.7109375,3426.6201171875,3198.6201171875,48832.03125
2021-04-19,4163.259765625,13914.76953125,34077.62890625,7000.10009765625,15368.3896484375,6296.68994140625,29685.369140625,29106.150390625,3477.55004882812,3198.84008789062,47949.421875
2021-04-20,4134.93994140625,13786.26953125,33821.30078125,6859.89990234375,15129.509765625,6165.10986328125,29100.380859375,29135.73046875,3472.93994140625,3220.69995117188,47705.80078125
2021-04-21,4173.419921875,13950.2197265625,34137.30859375,6895.2998046875,15195.9697265625,6210.5498046875,28508.55078125,28621.919921875,3472.92993164062,3171.65991210938,NA
2021-04-22,4134.97998046875,13818.41015625,33815.8984375,6938.2001953125,15320.51953125,6267.27978515625,29188.169921875,28755.33984375,3465.11010742188,3177.52001953125,48080.671875
2021-04-23,4180.169921875,14016.8095703125,34043.48828125,6938.60009765625,15279.6201171875,6257.93994140625,29020.630859375,29078.75,3474.169921875,3181.080078125,47878.44921875
2021-04-26,4187.6201171875,14138.7802734375,33981.5703125,6963.10009765625,15296.33984375,6275.52001953125,29126.23046875,28952.830078125,3441.169921875,3217.53002929688,48386.51171875
2021-04-27,4186.72021484375,14090.2197265625,33984.9296875,6945,15249.26953125,6273.759765625,28991.890625,28941.5390625,3442.61010742188,3215.419921875,48944.140625
2021-04-28,4183.18017578125,14051.0302734375,33820.37890625,6963.7001953125,15292.1796875,6306.97998046875,29053.970703125,29071.33984375,3457.07006835938,3181.46997070312,49733.83984375
2021-04-29,4211.47021484375,14082.5498046875,34060.359375,6961.5,15154.2001953125,6302.56982421875,NA,29303.259765625,3474.89990234375,3174.07006835938,49765.94140625
2021-04-30,4181.169921875,13962.6796875,33874.8515625,6969.7998046875,15135.91015625,6269.47998046875,28812.630859375,28724.880859375,3446.86010742188,3147.86010742188,48782.359375
2021-05-03,4192.66015625,13895.1201171875,34113.23046875,NA,15236.4697265625,6307.89990234375,NA,28357.5390625,NA,3127.19995117188,48718.51953125
2021-05-04,4164.66015625,13633.5,34133.03125,6923.2001953125,14856.48046875,6251.75,NA,28557.140625,NA,3147.3701171875,48253.51171875
2021-05-05,4167.58984375,13582.419921875,34230.33984375,7039.2998046875,15170.7802734375,6339.47021484375,NA,28417.98046875,NA,NA,48677.55078125
